746,904
730,161
268,413
422,90
281,206
432,217
935,427
284,549
564,703
118,230
162,238
642,741
914,760
833,575
978,27
644,943
130,734
395,318
864,425
786,787
25,327
523,916
352,755
548,834
43,625
147,145
280,995
228,548
893,868
972,374
582,673
776,534
369,761
646,309
559,742
341,993
972,18
327,887
640,849
278,295
570,526
417,923
622,151
626,926
216,669
356,690
3,745
282,149
761,644
71,687
994,483
489,295
165,174
974,97
960,717
672,693
317,145
802,130
378,165
847,628
695,291
621,548
175,881
354,234
538,869
616,871
502,199
883,329
910,619
649,352
236,293
545,503
418,47
557,232
995,381
612,635
194,827
937,834
843,952
342,648
674,206
86,354
406,111
440,769
515,10
281,532
999,337
772,429
172,721
333,108
275,216
274,661
394,854
300,824
302,867
537,153
320,135
492,495
793,439
554,110
52,474
602,804
824,120
259,127
199,72
319,583
643,574
388,636
312,243
504,153
229,153
313,484
667,12
18,496
965,620
255,928
211,790
839,470
863,341
428,787
23,457
637,356
212,981
866,735
224,636
782,454
589,354
629,459
954,374
437,874
162,756
875,62
775,810
771,29
701,539
835,311
679,781
295,206
163,948
398,203
252,695
605,447
14,612
723,332
318,498
521,888
537,34
720,153
231,117
558,201
43,153
933,239
610,253
780,888
947,583
608,987
878,171
413,679
284,780
292,259
979,203
662,371
905,111
97,372
838,29
12,230
391,794
861,561
84,897
29,316
300,375
546,417
970,68
666,663
879,512
763,547
568,361
904,936
256,197
600,127
506,497
959,288
460,608
434,645
642,388
456,420
602,562
636,464
712,557
507,852
168,460
870,474
186,797
812,897
529,266
670,883
792,828
0,949
950,86
840,260
456,84
722,583
244,456
90,99
674,760
994,217
298,332
837,824
741,144
765,641
613,557
685,843
709,798
95,918
681,594
726,915
894,554
684,424
187,296
722,645
559,683
953,34
589,767
142,612
869,648
749,555
768,307
118,996
325,251
65,746
423,808
609,725
927,354
677,612
122,966
952,816
219,241
772,281
700,248
959,713
131,272
680,684
494,963
433,630
89,282
605,0
27,703
150,594
561,170
826,308
65,109
575,815
696,139
380,437
462,453
284,727
655,850
546,393
624,37
309,491
5,292
341,780
794,760
69,91
272,824
230,585
991,777
507,269
567,298
158,315
327,113
578,27
875,925
367,591
777,324
738,402
325,532
447,466
164,274
574,44
406,437
348,568
771,40
751,801
752,989
921,346
874,298
20,102
272,86
815,411
964,954
397,385
374,59
978,973
403,637
857,338
717,486
555,492
854,75
759,231
827,436
819,775
673,130
914,168
872,417
433,360
889,301
925,368
507,168
610,3
611,319
267,203
342,788
897,968
974,398
918,285
827,538
215,299
637,581
637,923
64,317
653,989
152,865
0,526
586,269
915,985
142,856
426,910
572,615
634,396
885,957
458,593
667,989
229,442
470,859
147,396
417,658
284,454
892,423
