0,73,883
1,835,931
2,470,581
3,921,491
4,597,155
5,590,882
6,852,297
7,158,938
8,183,960
9,994,242
10,763,56
11,288,537
12,775,410
13,11,847
14,847,711
15,503,354
16,680,354
17,532,528
18,419,363
19,100,704
20,537,175
21,353,476
22,749,124
23,615,95
24,564,804
25,715,439
26,255,299
27,188,734
28,416,266
29,151,197
30,34,74
31,644,112
32,501,408
33,84,882
34,311,125
35,109,100
36,255,321
37,504,251
38,153,496
39,797,698
40,473,364
41,454,373
42,47,224
43,85,925
44,1,336
45,422,238
46,952,355
47,309,722
48,222,325
49,880,844
50,228,72
51,812,752
52,83,905
53,582,595
54,303,542
55,682,628
56,384,62
57,6,814
58,391,768
59,378,837
60,996,936
61,696,629
62,471,568
63,908,341
64,617,169
65,411,145
66,66,369
67,702,64
68,455,766
69,393,679
70,692,822
71,988,791
72,364,418
73,77,834
74,961,948
75,651,362
76,315,522
77,721,328
78,638,534
79,664,82
80,725,233
81,301,863
82,857,718
83,735,176
84,15,696
85,140,784
86,818,384
87,734,224
88,187,542
89,88,231
90,21,845
91,280,607
92,366,275
93,876,836
94,379,136
95,601,4
96,929,259
97,904,281
98,329,578
99,696,515
100,963,765
101,763,887
102,298,393
103,639,982
104,965,967
105,821,140
106,663,499
107,361,57
108,512,11
109,971,639
110,815,540
111,475,681
112,726,108
113,461,479
114,449,329
115,708,779
116,895,299
117,878,125
118,372,858
119,214,868
120,815,316
121,681,690
122,141,387
123,305,782
124,303,287
125,297,115
126,401,438
127,310,195
128,384,135
129,274,194
130,893,368
131,140,895
132,247,125
133,47,345
134,827,226
135,498,329
136,763,250
137,625,753
138,46,301
139,19,307
140,784,557
141,970,667
142,723,471
143,561,670
144,383,280
145,482,692
146,579,734
147,757,83
148,510,128
149,693,189
150,206,313
151,696,2
152,129,914
153,435,663
154,36,968
155,661,355
156,710,290
157,278,310
158,472,811
159,244,90
160,122,729
161,888,920
162,199,445
163,699,114
164,849,395
165,195,160
166,973,433
167,396,591
168,112,777
169,380,421
170,349,793
171,293,837
172,780,738
173,322,349
174,131,779
175,401,288
176,620,892
177,657,125
178,92,436
179,497,15
180,213,841
181,774,411
182,581,261
183,670,995
184,812,668
185,699,890
186,71,225
187,123,963
188,668,298
189,412,71
190,353,632
191,727,175
192,4,48
193,877,643
194,24,974
195,455,880
196,993,11
197,722,313
198,57,26
199,385,962
200,598,216
201,325,334
202,668,951
203,475,899
204,691,142
205,955,373
206,743,372
207,785,737
208,105,779
209,595,16
210,309,655
211,512,407
212,361,564
213,143,686
214,403,472
215,130,863
216,866,777
217,480,378
218,410,554
219,400,645
220,83,897
221,98,194
222,910,517
223,342,416
224,288,225
225,546,18
226,860,626
227,876,693
228,514,535
229,913,261
230,466,498
231,675,476
232,576,411
233,515,439
234,38,217
235,905,819
236,356,56
237,905,422
238,101,21
239,752,81
240,224,25
241,90,448
242,447,622
243,988,843
244,456,678
245,126,806
246,747,987
247,279,525
248,206,942
249,6,18
250,957,959
251,104,9
252,328,195
253,662,975
254,576,62
255,704,793
256,882,674
257,827,46
258,2,456
259,708,198
260,574,348
261,237,351
262,566,214
263,132,504
264,746,104
265,638,121
266,70,614
267,416,146
268,230,669
269,331,366
270,146,675
271,51,986
272,292,336
273,756,274
274,661,109
275,963,612
276,487,746
277,85,39
278,435,905
279,96,927
280,724,80
281,423,429
282,118,720
283,322,674
284,648,587
285,895,897
286,755,622
287,159,726
288,949,274
289,648,475
290,675,554
291,107,853
292,568,739
293,718,151
294,312,838
295,140,660
296,792,346
297,549,339
298,195,100
299,361,692
300,687,365
301,61,186
302,881,826
303,296,260
304,41,420
305,292,451
306,337,108
307,823,663
308,91,660
309,536,377
310,160,429
311,562,385
312,144,59
313,368,387
314,374,569
315,371,4
316,410,936
317,31,4
318,166,952
319,101,322
320,931,601
321,950,785
322,555,817
323,502,396
324,938,590
325,180,596
326,386,690
327,149,129
328,156,965
329,752,449
330,257,705
331,911,870
332,574,692
333,599,634
334,909,484
335,709,676
336,729,288
337,957,869
338,472,230
339,182,607
340,492,628
341,595,357
342,15,686
343,272,556
344,656,382
345,226,453
346,780,723
347,875,51
348,110,124
349,90,685
350,349,992
351,101,258
352,956,794
353,605,182
354,519,371
355,455,398
356,357,659
357,374,856
358,916,54
359,781,350
360,547,58
361,719,178
362,508,75
363,907,192
364,747,890
365,65,856
366,939,295
367,355,444
368,503,664
369,955,415
370,350,738
371,271,500
372,656,667
373,934,524
374,992,135
375,957,805
376,329,321
377,79,982
378,460,93
379,717,569
380,560,145
381,663,342
382,319,273
383,574,657
384,150,673
385,414,99
386,127,265
387,714,715
388,787,870
389,920,217
